IntID,ExtID,Type,Longitude,Latitude,uuid
278,16226,B,32.17387800,-28.38623000,62696D87-45C7-E611-AFEB-00505698216F
279,16227,B,32.16917500,-28.39565500,63696D87-45C7-E611-AFEB-00505698216F
280,16228,B,32.16970900,-28.39569000,64696D87-45C7-E611-AFEB-00505698216F
281,16229,B,32.17008300,-28.39513500,65696D87-45C7-E611-AFEB-00505698216F
282,16231,B,32.17039500,-28.39614700,66696D87-45C7-E611-AFEB-00505698216F
283,16233,B,32.17091000,-28.39651900,67696D87-45C7-E611-AFEB-00505698216F
284,16234,B,32.16566100,-28.39643700,68696D87-45C7-E611-AFEB-00505698216F
285,16235,B,32.16558500,-28.39749200,69696D87-45C7-E611-AFEB-00505698216F
286,16236,B,32.16442500,-28.39781200,6A696D87-45C7-E611-AFEB-00505698216F
287,16237,B,32.16450600,-28.39825900,6B696D87-45C7-E611-AFEB-00505698216F
288,16238,B,32.16413200,-28.39846500,6C696D87-45C7-E611-AFEB-00505698216F
289,16239,B,32.16361300,-28.39817100,6D696D87-45C7-E611-AFEB-00505698216F
290,16240,B,32.16446700,-28.40064300,6E696D87-45C7-E611-AFEB-00505698216F
291,16242,B,32.16361700,-28.40455100,6F696D87-45C7-E611-AFEB-00505698216F
292,16243,B,32.16348700,-28.40575500,70696D87-45C7-E611-AFEB-00505698216F
293,16244,B,32.16057600,-28.40682100,71696D87-45C7-E611-AFEB-00505698216F
294,16245,B,32.13638600,-28.37410900,72696D87-45C7-E611-AFEB-00505698216F
295,16247,B,32.13522700,-28.37529100,73696D87-45C7-E611-AFEB-00505698216F
296,16248,B,32.13549000,-28.37486000,74696D87-45C7-E611-AFEB-00505698216F
297,16249,B,32.14014400,-28.37947400,75696D87-45C7-E611-AFEB-00505698216F
298,16250,B,32.14158600,-28.37876300,76696D87-45C7-E611-AFEB-00505698216F
299,16251,B,32.13988800,-28.37805000,77696D87-45C7-E611-AFEB-00505698216F
300,16252,B,32.14060500,-28.37872500,78696D87-45C7-E611-AFEB-00505698216F
301,16253,B,32.14274900,-28.37971700,79696D87-45C7-E611-AFEB-00505698216F
302,16254,B,32.14323000,-28.38024700,7A696D87-45C7-E611-AFEB-00505698216F
303,16255,B,32.13724100,-28.37493900,7B696D87-45C7-E611-AFEB-00505698216F
304,16256,B,32.14289800,-28.37352000,7C696D87-45C7-E611-AFEB-00505698216F
305,16257,B,32.12168100,-28.41119000,7D696D87-45C7-E611-AFEB-00505698216F
307,16259,B,32.11189100,-28.40219600,7F696D87-45C7-E611-AFEB-00505698216F
308,16260,B,32.09808600,-28.40591600,80696D87-45C7-E611-AFEB-00505698216F
309,16261,B,32.09991300,-28.40513100,81696D87-45C7-E611-AFEB-00505698216F
310,16262,B,32.10225900,-28.40548800,82696D87-45C7-E611-AFEB-00505698216F
311,16263,B,32.10273200,-28.40545500,83696D87-45C7-E611-AFEB-00505698216F
312,16287,B,32.11204000,-28.41757000,84696D87-45C7-E611-AFEB-00505698216F
313,16288,B,32.11225000,-28.41860200,85696D87-45C7-E611-AFEB-00505698216F
314,16318,B,32.15456400,-28.40976700,86696D87-45C7-E611-AFEB-00505698216F
315,16319,B,32.15457600,-28.41000500,87696D87-45C7-E611-AFEB-00505698216F
316,16320,B,32.15383200,-28.41126800,88696D87-45C7-E611-AFEB-00505698216F
317,16321,B,32.15395400,-28.41083500,89696D87-45C7-E611-AFEB-00505698216F
318,16322,B,32.15344300,-28.41041900,8A696D87-45C7-E611-AFEB-00505698216F
319,16323,B,32.15274400,-28.40983700,8B696D87-45C7-E611-AFEB-00505698216F
320,21135,B,32.06414500,-28.35852500,8C696D87-45C7-E611-AFEB-00505698216F
321,21137,B,32.06347400,-28.35799100,8D696D87-45C7-E611-AFEB-00505698216F
322,21138,B,32.05070900,-28.40273300,8E696D87-45C7-E611-AFEB-00505698216F
323,21139,B,32.05101400,-28.40384000,8F696D87-45C7-E611-AFEB-00505698216F
324,21140,B,32.05156000,-28.40419800,90696D87-45C7-E611-AFEB-00505698216F
325,21141,B,32.05099500,-28.40465200,91696D87-45C7-E611-AFEB-00505698216F
327,21144,B,32.08108700,-28.35797800,93696D87-45C7-E611-AFEB-00505698216F
328,21145,B,32.08197500,-28.35775100,94696D87-45C7-E611-AFEB-00505698216F
329,21146,B,32.08192600,-28.35724700,95696D87-45C7-E611-AFEB-00505698216F
330,21147,B,32.08294400,-28.35686400,96696D87-45C7-E611-AFEB-00505698216F
331,21148,B,32.08255500,-28.35794900,97696D87-45C7-E611-AFEB-00505698216F
332,21149,B,32.08319600,-28.35890500,98696D87-45C7-E611-AFEB-00505698216F
333,21150,B,32.08453500,-28.35877300,99696D87-45C7-E611-AFEB-00505698216F
334,21151,B,32.08383300,-28.35805600,9A696D87-45C7-E611-AFEB-00505698216F
335,21152,B,32.08479200,-28.35682700,9B696D87-45C7-E611-AFEB-00505698216F
336,21153,B,32.08675200,-28.35649600,9C696D87-45C7-E611-AFEB-00505698216F
337,11546,B,32.08122000,-28.38739700,9D696D87-45C7-E611-AFEB-00505698216F
338,11547,B,32.13861000,-28.40143300,9E696D87-45C7-E611-AFEB-00505698216F
