IntID,ExtID,Type,Longitude,Latitude,uuid,cluster
224,10992,B,32.051454,-28.290332,2c696d87-45c7-e611-afeb-00505698216f,2857
225,10993,B,32.051996,-28.291093,2d696d87-45c7-e611-afeb-00505698216f,2857
226,10998,B,32.047509,-28.292037,2e696d87-45c7-e611-afeb-00505698216f,2859
227,11000,B,32.046669,-28.291743,2f696d87-45c7-e611-afeb-00505698216f,2859
228,11003,B,32.039032,-28.293969,30696d87-45c7-e611-afeb-00505698216f,2947
229,16165,B,32.121299,-28.370278,31696d87-45c7-e611-afeb-00505698216f,1408
230,16166,B,32.122154,-28.370751,32696d87-45c7-e611-afeb-00505698216f,1408
231,16167,B,32.079046,-28.427353,33696d87-45c7-e611-afeb-00505698216f,4126
232,16168,B,32.093447,-28.430977,34696d87-45c7-e611-afeb-00505698216f,3801
233,16170,B,32.09466,-28.430995,35696d87-45c7-e611-afeb-00505698216f,3800
234,16171,B,32.091052,-28.432587,36696d87-45c7-e611-afeb-00505698216f,3796
235,16172,B,32.072515,-28.421653,37696d87-45c7-e611-afeb-00505698216f,4118
236,16173,B,32.072313,-28.422354,38696d87-45c7-e611-afeb-00505698216f,4118
237,16174,B,32.071123,-28.42226,39696d87-45c7-e611-afeb-00505698216f,4119
238,16175,B,32.087592,-28.40548,3a696d87-45c7-e611-afeb-00505698216f,3769
239,16176,B,32.089644,-28.404954,3b696d87-45c7-e611-afeb-00505698216f,3770
240,16177,B,32.090159,-28.40417,3c696d87-45c7-e611-afeb-00505698216f,3770
241,16178,B,32.093855,-28.405881,3d696d87-45c7-e611-afeb-00505698216f,956
243,16180,B,32.094695,-28.404971,3f696d87-45c7-e611-afeb-00505698216f,955
244,16182,B,32.095484,-28.404694,40696d87-45c7-e611-afeb-00505698216f,955
245,16183,B,32.095751,-28.404543,41696d87-45c7-e611-afeb-00505698216f,955
246,16184,B,32.089575,-28.433032,42696d87-45c7-e611-afeb-00505698216f,3795
247,16185,B,32.091589,-28.431941,43696d87-45c7-e611-afeb-00505698216f,3791
248,16186,B,32.074621,-28.39762,44696d87-45c7-e611-afeb-00505698216f,4146
249,16188,B,32.08753,-28.428734,45696d87-45c7-e611-afeb-00505698216f,3794
250,16189,B,32.088338,-28.428488,46696d87-45c7-e611-afeb-00505698216f,3794
251,16190,B,32.086523,-28.429396,47696d87-45c7-e611-afeb-00505698216f,3793
252,16191,B,32.091155,-28.427342,48696d87-45c7-e611-afeb-00505698216f,3790
253,16192,B,32.0908,-28.427117,49696d87-45c7-e611-afeb-00505698216f,3789
254,16193,B,32.091521,-28.426896,4a696d87-45c7-e611-afeb-00505698216f,3789
255,16194,B,32.091898,-28.429369,4b696d87-45c7-e611-afeb-00505698216f,3790
